sample_barcode,cg13601799,cg08047457,cg19531713,patient_id,brca1_promoter_mean
TCGA-OR-A5JP-01,0.03842,0.6321,0.0732,TCGA-OR-A5JP,0.2479066666666667
TCGA-OR-A5JQ-01,0.02256,0.6037,0.07932,TCGA-OR-A5JQ,0.23519333333333337
TCGA-OR-A5JR-01,0.02588,0.6903,0.08227,TCGA-OR-A5JR,0.26615
TCGA-OR-A5JS-01,0.03246,0.7234,0.07657,TCGA-OR-A5JS,0.2774766666666667
TCGA-OR-A5JT-01,0.03464,0.1335,0.09114,TCGA-OR-A5JT,0.08642666666666667
TCGA-OR-A5JV-01,0.02585,0.3855,0.09724,TCGA-OR-A5JV,0.16953
TCGA-OR-A5JW-01,0.08948,0.6715,0.09452,TCGA-OR-A5JW,0.2851666666666667
TCGA-OR-A5JX-01,0.02324,0.07222,0.06506,TCGA-OR-A5JX,0.05350666666666667
TCGA-OR-A5JY-01,0.1902,0.7362,0.05596,TCGA-OR-A5JY,0.3274533333333333
TCGA-OR-A5JZ-01,0.02898,0.7094,0.0754,TCGA-OR-A5JZ,0.27126
TCGA-OR-A5K0-01,0.9666,0.8214,0.07535,TCGA-OR-A5K0,0.6211166666666667
TCGA-OR-A5K1-01,0.02273,0.6679,0.07305,TCGA-OR-A5K1,0.25456000000000006
TCGA-OR-A5K2-01,0.03113,0.701,0.0805,TCGA-OR-A5K2,0.27087666666666665
TCGA-OR-A5K3-01,0.02317,0.7159,0.06726,TCGA-OR-A5K3,0.26877666666666666
TCGA-OR-A5K4-01,0.02572,0.6408,0.05287,TCGA-OR-A5K4,0.23979666666666666
TCGA-OR-A5K5-01,0.05822,0.7736,0.09216,TCGA-OR-A5K5,0.30799333333333334
TCGA-OR-A5K6-01,0.263,0.7509,0.08772,TCGA-OR-A5K6,0.3672066666666667
TCGA-OR-A5K8-01,0.01794,0.7408,0.05664,TCGA-OR-A5K8,0.27179333333333333
TCGA-OR-A5K9-01,0.04496,0.8186,0.08075,TCGA-OR-A5K9,0.31477
TCGA-OR-A5KO-01,0.01697,0.745,0.0661,TCGA-OR-A5KO,0.27602333333333334
TCGA-OR-A5KT-01,0.02392,0.6012,0.05069,TCGA-OR-A5KT,0.22527
TCGA-OR-A5KU-01,0.02662,0.6788,0.09317,TCGA-OR-A5KU,0.26619666666666664
TCGA-OR-A5KV-01,0.01968,0.7711,0.1045,TCGA-OR-A5KV,0.2984266666666667
TCGA-OR-A5KW-01,0.03069,0.7202,0.07255,TCGA-OR-A5KW,0.27448
TCGA-OR-A5KX-01,0.01942,0.7962,0.09054,TCGA-OR-A5KX,0.30205333333333334
TCGA-OR-A5KY-01,0.0159,0.6416,0.08347,TCGA-OR-A5KY,0.24699000000000002
TCGA-OR-A5KZ-01,0.2684,0.677,0.08919,TCGA-OR-A5KZ,0.34486333333333336
TCGA-OR-A5L3-01,0.0273,0.3913,0.08839,TCGA-OR-A5L3,0.16899666666666666
TCGA-OR-A5L4-01,0.02275,0.5882,0.08588,TCGA-OR-A5L4,0.23227666666666666
TCGA-OR-A5L5-01,0.0239,0.5641,0.0575,TCGA-OR-A5L5,0.2151666666666667
TCGA-OR-A5L6-01,0.0236,0.678,0.08076,TCGA-OR-A5L6,0.26078666666666667
TCGA-OR-A5L8-01,0.02502,0.4921,0.089,TCGA-OR-A5L8,0.20204
TCGA-OR-A5L9-01,0.02572,0.2428,0.08191,TCGA-OR-A5L9,0.11680999999999998
TCGA-OR-A5LA-01,0.02282,0.09786,0.09675,TCGA-OR-A5LA,0.07247666666666668
TCGA-OR-A5LB-01,0.02553,0.7748,0.09074,TCGA-OR-A5LB,0.29702333333333336
TCGA-OR-A5LC-01,0.1332,0.717,0.06203,TCGA-OR-A5LC,0.30407666666666666
TCGA-OR-A5LD-01,0.02278,0.7952,0.07379,TCGA-OR-A5LD,0.29725666666666667
TCGA-OR-A5LE-01,0.04498,0.8191,0.1011,TCGA-OR-A5LE,0.32172666666666666
TCGA-OR-A5LG-01,0.1263,0.434,0.07928,TCGA-OR-A5LG,0.21319333333333335
TCGA-OR-A5LH-01,0.02328,0.6405,0.06353,TCGA-OR-A5LH,0.24243666666666663
TCGA-OR-A5LJ-01,0.017,0.7378,0.07692,TCGA-OR-A5LJ,0.27724
TCGA-OR-A5LK-01,0.02675,0.5793,0.07465,TCGA-OR-A5LK,0.22690000000000002
TCGA-OR-A5LL-01,0.02491,0.4725,0.07947,TCGA-OR-A5LL,0.19229333333333332
TCGA-OR-A5LM-01,0.02936,0.6886,0.1066,TCGA-OR-A5LM,0.27485333333333334
TCGA-OR-A5LN-01,0.01994,0.7246,0.0654,TCGA-OR-A5LN,0.26998
TCGA-OR-A5LO-01,0.02055,0.7434,0.0977,TCGA-OR-A5LO,0.2872166666666666
TCGA-OR-A5LP-01,0.02766,0.5535,0.06194,TCGA-OR-A5LP,0.21436666666666668
TCGA-OR-A5LR-01,0.02666,0.621,0.07151,TCGA-OR-A5LR,0.23972333333333332
TCGA-OR-A5LS-01,0.04357,0.731,0.07576,TCGA-OR-A5LS,0.2834433333333333
TCGA-OR-A5LT-01,0.4282,0.7103,0.07579,TCGA-OR-A5LT,0.40476333333333336
TCGA-OU-A5PI-01,0.02072,0.6703,0.07309,TCGA-OU-A5PI,0.25470333333333334
TCGA-P6-A5OF-01,0.01959,0.7151,0.0764,TCGA-P6-A5OF,0.27036333333333334
TCGA-PA-A5YG-01,0.02667,0.0695,0.07346,TCGA-PA-A5YG,0.056543333333333334
TCGA-PK-A5H8-01,0.026,0.78,0.08553,TCGA-PK-A5H8,0.2971766666666667
TCGA-PK-A5H9-01,0.0316,0.1974,0.08336,TCGA-PK-A5H9,0.10411999999999999
TCGA-PK-A5HA-01,0.0249,0.6309,0.07421,TCGA-PK-A5HA,0.24333666666666667
TCGA-PK-A5HB-01,0.01973,0.6562,0.07832,TCGA-PK-A5HB,0.2514166666666667
TCGA-2F-A9KO-01,0.03482,0.4869,0.04966,TCGA-2F-A9KO,0.19046
TCGA-2F-A9KP-01,0.02449,0.6082,0.05503,TCGA-2F-A9KP,0.22924
TCGA-2F-A9KQ-01,0.05527,0.04886,0.03951,TCGA-2F-A9KQ,0.04788
TCGA-2F-A9KR-01,0.08854,0.04112,0.04791,TCGA-2F-A9KR,0.05919
TCGA-2F-A9KT-01,0.03006,0.5261,0.05018,TCGA-2F-A9KT,0.20211333333333334
TCGA-2F-A9KW-01,0.02517,0.5617,0.04509,TCGA-2F-A9KW,0.21065333333333333
TCGA-4Z-AA7M-01,0.03017,0.03533,0.0435,TCGA-4Z-AA7M,0.036333333333333336
TCGA-4Z-AA7N-01,0.03408,0.03158,0.04324,TCGA-4Z-AA7N,0.0363
TCGA-4Z-AA7O-01,0.09485,0.05094,0.02524,TCGA-4Z-AA7O,0.057010000000000005
TCGA-4Z-AA7Q-01,0.03208,0.02294,0.03082,TCGA-4Z-AA7Q,0.028613333333333334
TCGA-4Z-AA7R-01,0.02022,0.5734,0.04302,TCGA-4Z-AA7R,0.21221333333333336
TCGA-4Z-AA7S-01,0.02288,0.6573,0.04743,TCGA-4Z-AA7S,0.24253666666666665
TCGA-4Z-AA7W-01,0.03129,0.3152,0.04963,TCGA-4Z-AA7W,0.13204
TCGA-4Z-AA7Y-01,0.1355,0.03593,0.05268,TCGA-4Z-AA7Y,0.07470333333333333
TCGA-4Z-AA80-01,0.02818,0.4396,0.04942,TCGA-4Z-AA80,0.1724
TCGA-4Z-AA81-01,0.02698,0.5048,0.04563,TCGA-4Z-AA81,0.19247
TCGA-4Z-AA82-01,0.05128,0.4393,0.0448,TCGA-4Z-AA82,0.17845999999999998
TCGA-4Z-AA83-01,0.02381,0.3914,0.03431,TCGA-4Z-AA83,0.14984
TCGA-4Z-AA84-01,0.04663,0.1479,0.04917,TCGA-4Z-AA84,0.08123333333333334
TCGA-4Z-AA86-01,0.04189,0.293,0.06551,TCGA-4Z-AA86,0.13346666666666665
TCGA-4Z-AA87-01,0.01925,0.495,0.04884,TCGA-4Z-AA87,0.18769666666666665
TCGA-4Z-AA89-01,0.05526,0.1414,0.06272,TCGA-4Z-AA89,0.08646
TCGA-5N-A9KI-01,0.0166,0.5603,0.04112,TCGA-5N-A9KI,0.20600666666666667
TCGA-5N-A9KM-01,0.03621,0.04947,0.06316,TCGA-5N-A9KM,0.049613333333333336
TCGA-BL-A0C8-01,0.05917,0.6107,0.07395,TCGA-BL-A0C8,0.24793999999999997
TCGA-BL-A13I-01,0.03709,0.3886,0.1107,TCGA-BL-A13I,0.1787966666666667
TCGA-BL-A13J-01,0.1101,0.458,0.08644,TCGA-BL-A13J,0.21818
TCGA-BL-A13J-11,0.05167,0.02997,0.07555,TCGA-BL-A13J,0.05239666666666667
TCGA-BL-A3JM-01,0.02336,0.5156,0.06923,TCGA-BL-A3JM,0.20273
TCGA-BL-A5ZZ-01,0.01872,0.5172,0.03075,TCGA-BL-A5ZZ,0.18889
TCGA-BT-A0S7-01,0.06977,0.02965,0.07189,TCGA-BT-A0S7,0.05710333333333333
TCGA-BT-A0YX-01,0.0662,0.2123,0.08361,TCGA-BT-A0YX,0.12070333333333333
TCGA-BT-A20J-01,0.08566,0.02932,0.09129,TCGA-BT-A20J,0.06875666666666667
TCGA-BT-A20J-11,0.04696,0.03994,0.1004,TCGA-BT-A20J,0.06243333333333334
TCGA-BT-A20N-01,0.03139,0.2839,0.1004,TCGA-BT-A20N,0.13856333333333332
TCGA-BT-A20N-11,0.03225,0.03401,0.1094,TCGA-BT-A20N,0.058553333333333325
TCGA-BT-A20O-01,0.06945,0.03079,0.1032,TCGA-BT-A20O,0.06781333333333334
TCGA-BT-A20P-01,0.183,0.5638,0.09724,TCGA-BT-A20P,0.28134666666666663
TCGA-BT-A20P-11,0.05142,0.05734,0.08829,TCGA-BT-A20P,0.06568333333333333
TCGA-BT-A20Q-01,0.07171,0.5847,0.09471,TCGA-BT-A20Q,0.2503733333333333
TCGA-BT-A20R-01,0.03751,0.07432,0.07729,TCGA-BT-A20R,0.06304
TCGA-BT-A20R-11,0.03593,0.0304,0.08554,TCGA-BT-A20R,0.05062333333333333
TCGA-BT-A20T-01,0.06677,0.1311,0.09537,TCGA-BT-A20T,0.09774666666666666
TCGA-BT-A20U-01,0.06817,0.02944,0.09374,TCGA-BT-A20U,0.06378333333333334
TCGA-BT-A20U-11,0.07658,0.02861,0.1156,TCGA-BT-A20U,0.07359666666666666
TCGA-BT-A20V-01,0.04117,0.05327,0.07201,TCGA-BT-A20V,0.05548333333333333
TCGA-BT-A20V-11,0.04694,0.02724,0.1025,TCGA-BT-A20V,0.05889333333333333
TCGA-BT-A20W-01,0.05948,0.5297,0.1008,TCGA-BT-A20W,0.2299933333333333
TCGA-BT-A20W-11,0.06024,0.2474,0.09512,TCGA-BT-A20W,0.13425333333333334
TCGA-BT-A20X-01,0.04862,0.02589,0.08735,TCGA-BT-A20X,0.05395333333333333
TCGA-BT-A20X-11,0.03095,0.05192,0.08242,TCGA-BT-A20X,0.05509666666666666
TCGA-BT-A2LA-01,0.01906,0.8012,0.05462,TCGA-BT-A2LA,0.29162666666666665
TCGA-BT-A2LA-11,0.01788,0.174,0.05102,TCGA-BT-A2LA,0.08096666666666667
TCGA-BT-A2LB-01,0.1475,0.04265,0.05735,TCGA-BT-A2LB,0.0825
TCGA-BT-A2LD-01,0.02705,0.6081,0.09379,TCGA-BT-A2LD,0.24298
TCGA-BT-A3PH-01,0.01717,0.7135,0.06542,TCGA-BT-A3PH,0.26536333333333334
TCGA-BT-A3PJ-01,0.01693,0.6153,0.07208,TCGA-BT-A3PJ,0.23477
TCGA-BT-A3PK-01,0.02446,0.4984,0.07836,TCGA-BT-A3PK,0.20040666666666665
TCGA-BT-A42B-01,0.06704,0.0642,0.08253,TCGA-BT-A42B,0.07125666666666668
TCGA-BT-A42C-01,0.03486,0.02877,0.08734,TCGA-BT-A42C,0.05032333333333333
TCGA-BT-A42E-01,0.05584,0.02978,0.1107,TCGA-BT-A42E,0.06544
TCGA-BT-A42F-01,0.06299,0.02869,0.09526,TCGA-BT-A42F,0.06231333333333333
TCGA-C4-A0EZ-01,0.0414,0.8274,0.07477,TCGA-C4-A0EZ,0.3145233333333333
TCGA-C4-A0F0-01,0.04162,0.03047,0.08509,TCGA-C4-A0F0,0.052393333333333326
TCGA-C4-A0F1-01,0.08093,0.02649,0.0833,TCGA-C4-A0F1,0.06357333333333333
TCGA-C4-A0F6-01,0.1562,0.6544,0.06169,TCGA-C4-A0F6,0.2907633333333333
TCGA-C4-A0F7-01,0.1235,0.5845,0.07547,TCGA-C4-A0F7,0.26115666666666665
TCGA-CF-A1HR-01,0.0713,0.4517,0.1072,TCGA-CF-A1HR,0.21006666666666665
TCGA-CF-A1HS-01,0.04703,0.04193,0.08941,TCGA-CF-A1HS,0.05945666666666668
TCGA-CF-A27C-01,0.3427,0.8016,0.079,TCGA-CF-A27C,0.4077666666666666
TCGA-CF-A3MF-01,0.02058,0.5563,0.06394,TCGA-CF-A3MF,0.2136066666666667
TCGA-CF-A3MG-01,0.3165,0.08061,0.09549,TCGA-CF-A3MG,0.1642
TCGA-CF-A3MH-01,0.2467,0.02807,0.08841,TCGA-CF-A3MH,0.12106
TCGA-CF-A3MI-01,0.02076,0.03351,0.09357,TCGA-CF-A3MI,0.04928
TCGA-CF-A47S-01,0.0234,0.06144,0.09935,TCGA-CF-A47S,0.06139666666666666
TCGA-CF-A47T-01,0.2077,0.03401,0.09398,TCGA-CF-A47T,0.11189666666666666
TCGA-CF-A47V-01,0.02632,0.496,0.08964,TCGA-CF-A47V,0.20398666666666668
TCGA-CF-A47W-01,0.02951,0.02826,0.1062,TCGA-CF-A47W,0.054656666666666666
TCGA-CF-A47X-01,0.03797,0.5172,0.07776,TCGA-CF-A47X,0.21097666666666667
TCGA-CF-A47Y-01,0.03974,0.03386,0.09113,TCGA-CF-A47Y,0.054909999999999994
TCGA-CF-A5U8-01,0.03767,0.03709,0.06875,TCGA-CF-A5U8,0.047836666666666666
TCGA-CF-A5UA-01,0.1676,0.03955,0.04864,TCGA-CF-A5UA,0.08526333333333334
TCGA-CF-A7I0-01,0.03652,0.06735,0.04234,TCGA-CF-A7I0,0.04873666666666667
TCGA-CF-A8HX-01,0.08719,0.6671,0.06161,TCGA-CF-A8HX,0.2719666666666667
TCGA-CF-A8HY-01,0.1337,0.03499,0.05694,TCGA-CF-A8HY,0.07521
TCGA-CF-A9FF-01,0.02331,0.1882,0.03591,TCGA-CF-A9FF,0.08247333333333333
TCGA-CF-A9FH-01,0.2482,0.07082,0.05015,TCGA-CF-A9FH,0.12305666666666666
TCGA-CF-A9FL-01,0.05304,0.03912,0.05048,TCGA-CF-A9FL,0.04754666666666666
TCGA-CF-A9FM-01,0.01492,0.3619,0.04973,TCGA-CF-A9FM,0.14218333333333333
TCGA-CU-A0YN-01,0.03152,0.435,0.0662,TCGA-CU-A0YN,0.17757333333333333
TCGA-CU-A0YN-11,0.04983,0.03216,0.08247,TCGA-CU-A0YN,0.05482
TCGA-CU-A0YO-01,0.05155,0.03073,0.07748,TCGA-CU-A0YO,0.053253333333333326
TCGA-CU-A0YR-01,0.05116,0.1676,0.08462,TCGA-CU-A0YR,0.10112666666666666
TCGA-CU-A0YR-11,0.05473,0.03377,0.07885,TCGA-CU-A0YR,0.05578333333333333
TCGA-CU-A3KJ-01,0.07732,0.02974,0.07809,TCGA-CU-A3KJ,0.06171666666666667
TCGA-CU-A3QU-01,0.02676,0.8257,0.06538,TCGA-CU-A3QU,0.30594666666666664
TCGA-CU-A3YL-01,0.0706,0.04029,0.08609,TCGA-CU-A3YL,0.06566
TCGA-CU-A5W6-01,0.05187,0.08602,0.06586,TCGA-CU-A5W6,0.06791666666666667
TCGA-CU-A72E-01,0.05028,0.1365,0.04235,TCGA-CU-A72E,0.07637666666666666
TCGA-DK-A1A3-01,0.04401,0.1159,0.07476,TCGA-DK-A1A3,0.07822333333333333
TCGA-DK-A1A5-01,0.0831,0.3602,0.1199,TCGA-DK-A1A5,0.18773333333333334
TCGA-DK-A1A6-01,0.04834,0.5294,0.09724,TCGA-DK-A1A6,0.22499333333333335
TCGA-DK-A1A6-06,0.01304,0.4743,0.0498,TCGA-DK-A1A6,0.17904666666666666
TCGA-DK-A1A7-01,0.04324,0.03014,0.09513,TCGA-DK-A1A7,0.05617
TCGA-DK-A1AA-01,0.1296,0.3712,0.1027,TCGA-DK-A1AA,0.20116666666666663
TCGA-DK-A1AB-01,0.06887,0.03034,0.09474,TCGA-DK-A1AB,0.06465
TCGA-DK-A1AC-01,0.03562,0.3726,0.09436,TCGA-DK-A1AC,0.16752666666666668
TCGA-DK-A1AD-01,0.03365,0.4794,0.09777,TCGA-DK-A1AD,0.20360666666666669
TCGA-DK-A1AE-01,0.1115,0.03923,0.08536,TCGA-DK-A1AE,0.07869666666666668
TCGA-DK-A1AF-01,0.04052,0.03112,0.1171,TCGA-DK-A1AF,0.06291333333333333
TCGA-DK-A1AG-01,0.163,0.05673,0.09292,TCGA-DK-A1AG,0.10421666666666667
TCGA-DK-A2HX-01,0.02216,0.5319,0.06197,TCGA-DK-A2HX,0.20534333333333332
TCGA-DK-A2I1-01,0.03925,0.03463,0.09327,TCGA-DK-A2I1,0.05571666666666667
TCGA-DK-A2I2-01,0.01987,0.4561,0.09895,TCGA-DK-A2I2,0.19164
TCGA-DK-A2I4-01,0.0168,0.4508,0.1009,TCGA-DK-A2I4,0.1895
TCGA-DK-A2I6-01,0.01657,0.01848,0.0567,TCGA-DK-A2I6,0.030583333333333334
TCGA-DK-A3IK-01,0.05292,0.4677,0.05932,TCGA-DK-A3IK,0.19331333333333334
TCGA-DK-A3IL-01,0.02613,0.6779,0.09342,TCGA-DK-A3IL,0.26581666666666665
TCGA-DK-A3IM-01,0.02434,0.02832,0.0877,TCGA-DK-A3IM,0.046786666666666664
TCGA-DK-A3IN-01,0.02437,0.5385,0.0824,TCGA-DK-A3IN,0.21509
TCGA-DK-A3IQ-01,0.02541,0.3497,0.09383,TCGA-DK-A3IQ,0.15631333333333333
TCGA-DK-A3IS-01,0.02324,0.03004,0.06109,TCGA-DK-A3IS,0.038123333333333335
TCGA-DK-A3IT-01,0.02679,0.06127,0.07376,TCGA-DK-A3IT,0.05394000000000001
TCGA-DK-A3IU-01,0.03933,0.4799,0.07879,TCGA-DK-A3IU,0.19934
TCGA-DK-A3IV-01,0.02283,0.5196,0.05344,TCGA-DK-A3IV,0.19862333333333335
TCGA-DK-A3WW-01,0.02815,0.02631,0.07489,TCGA-DK-A3WW,0.043116666666666664
TCGA-DK-A3WX-01,0.02684,0.04166,0.104,TCGA-DK-A3WX,0.057499999999999996
TCGA-DK-A3WY-01,0.02449,0.1372,0.1063,TCGA-DK-A3WY,0.08933
TCGA-DK-A3X1-01,0.02421,0.03242,0.09943,TCGA-DK-A3X1,0.052020000000000004
TCGA-DK-A3X2-01,0.02085,0.03564,0.09262,TCGA-DK-A3X2,0.04970333333333333
TCGA-DK-A6AV-01,0.03985,0.01869,0.02546,TCGA-DK-A6AV,0.027999999999999997
TCGA-DK-A6AW-01,0.0167,0.09455,0.03138,TCGA-DK-A6AW,0.047543333333333326
TCGA-DK-A6B0-01,0.01493,0.02702,0.06991,TCGA-DK-A6B0,0.03728666666666667
TCGA-DK-A6B1-01,0.0234,0.7535,0.04011,TCGA-DK-A6B1,0.2723366666666666
TCGA-DK-A6B2-01,0.03144,0.5558,0.03645,TCGA-DK-A6B2,0.20789666666666665
TCGA-DK-A6B5-01,0.0403,0.02266,0.06093,TCGA-DK-A6B5,0.04129666666666667
TCGA-DK-A6B6-01,0.02649,0.5678,0.05188,TCGA-DK-A6B6,0.21539
TCGA-DK-AA6L-01,0.6624,0.4911,0.05025,TCGA-DK-AA6L,0.40124999999999994
TCGA-DK-AA6M-01,0.02281,0.4536,0.05548,TCGA-DK-AA6M,0.17729666666666666
TCGA-DK-AA6P-01,0.02818,0.03307,0.05149,TCGA-DK-AA6P,0.03758
TCGA-DK-AA6Q-01,0.03826,0.09031,0.05547,TCGA-DK-AA6Q,0.06134666666666667
TCGA-DK-AA6R-01,0.01171,0.5657,0.07214,TCGA-DK-AA6R,0.21651666666666666
TCGA-DK-AA6S-01,0.05096,0.5096,0.04979,TCGA-DK-AA6S,0.20345000000000002
TCGA-DK-AA6T-01,0.1612,0.0299,0.05173,TCGA-DK-AA6T,0.08094333333333334
TCGA-DK-AA6U-01,0.02652,0.4864,0.04867,TCGA-DK-AA6U,0.18719666666666668
TCGA-DK-AA6W-01,0.03073,0.5959,0.04835,TCGA-DK-AA6W,0.22499333333333335
TCGA-DK-AA6X-01,0.02651,0.4626,0.05642,TCGA-DK-AA6X,0.18184333333333333
TCGA-DK-AA71-01,0.0355,0.05781,0.06658,TCGA-DK-AA71,0.053296666666666666
TCGA-DK-AA74-01,0.02799,0.0311,0.03898,TCGA-DK-AA74,0.032690000000000004
TCGA-DK-AA75-01,0.0393,0.3561,0.04047,TCGA-DK-AA75,0.14529
TCGA-DK-AA76-01,0.08123,0.04236,0.0555,TCGA-DK-AA76,0.05969666666666667
TCGA-DK-AA77-01,0.087,0.07787,0.06481,TCGA-DK-AA77,0.07656
TCGA-E5-A2PC-01,0.06238,0.03084,0.08827,TCGA-E5-A2PC,0.060496666666666664
TCGA-E5-A4TZ-01,0.01728,0.7415,0.06269,TCGA-E5-A4TZ,0.27382333333333336
TCGA-E5-A4U1-01,0.0248,0.03801,0.06931,TCGA-E5-A4U1,0.04404
TCGA-E7-A3X6-01,0.04447,0.4894,0.1046,TCGA-E7-A3X6,0.21282333333333334
TCGA-E7-A3Y1-01,0.02564,0.03718,0.1178,TCGA-E7-A3Y1,0.060206666666666665
TCGA-E7-A4IJ-01,0.02787,0.3467,0.04576,TCGA-E7-A4IJ,0.14011
TCGA-E7-A4XJ-01,0.01984,0.697,0.0509,TCGA-E7-A4XJ,0.25591333333333327
TCGA-E7-A519-01,0.02498,0.03923,0.04867,TCGA-E7-A519,0.03762666666666667
TCGA-E7-A541-01,0.04089,0.53,0.04276,TCGA-E7-A541,0.20455
TCGA-E7-A5KE-01,0.0293,0.181,0.07071,TCGA-E7-A5KE,0.09366999999999999
TCGA-E7-A5KF-01,0.04768,0.03772,0.08768,TCGA-E7-A5KF,0.05769333333333334
TCGA-E7-A677-01,0.02471,0.6141,0.04355,TCGA-E7-A677,0.2274533333333333
TCGA-E7-A678-01,0.0211,0.02319,0.05622,TCGA-E7-A678,0.03350333333333333
TCGA-E7-A6MD-01,0.0241,0.3534,0.04567,TCGA-E7-A6MD,0.14105666666666666
TCGA-E7-A6ME-01,0.02166,0.635,0.08316,TCGA-E7-A6ME,0.24660666666666667
TCGA-E7-A6MF-01,0.02434,0.03666,0.08725,TCGA-E7-A6MF,0.049416666666666664
TCGA-E7-A7DU-01,0.1807,0.02315,0.07232,TCGA-E7-A7DU,0.09205666666666668
TCGA-E7-A7DV-01,0.02954,0.3604,0.05382,TCGA-E7-A7DV,0.14792
TCGA-E7-A7PW-01,0.04915,0.5225,0.0437,TCGA-E7-A7PW,0.20511666666666664
TCGA-E7-A7XN-01,0.03455,0.03605,0.04923,TCGA-E7-A7XN,0.03994333333333333
TCGA-E7-A85H-01,0.03569,0.5431,0.0409,TCGA-E7-A85H,0.20656333333333335
TCGA-E7-A8O7-01,0.1065,0.05967,0.06451,TCGA-E7-A8O7,0.07689333333333333
TCGA-E7-A8O8-01,0.03048,0.02805,0.06103,TCGA-E7-A8O8,0.03985333333333333
TCGA-E7-A97P-01,0.02317,0.01982,0.04345,TCGA-E7-A97P,0.028813333333333333
TCGA-E7-A97Q-01,0.02711,0.4147,0.05828,TCGA-E7-A97Q,0.1666966666666667
TCGA-FD-A3B3-01,0.02012,0.3719,0.07812,TCGA-FD-A3B3,0.15671333333333334
TCGA-FD-A3B4-01,0.02898,0.03521,0.09264,TCGA-FD-A3B4,0.052276666666666666
TCGA-FD-A3B5-01,0.04926,0.02926,0.08887,TCGA-FD-A3B5,0.05579666666666667
TCGA-FD-A3B6-01,0.0183,0.5067,0.09596,TCGA-FD-A3B6,0.20698666666666668
TCGA-FD-A3B7-01,0.0199,0.02449,0.08461,TCGA-FD-A3B7,0.043000000000000003
TCGA-FD-A3B8-01,0.02016,0.02737,0.09741,TCGA-FD-A3B8,0.04831333333333334
TCGA-FD-A3N5-01,0.01909,0.532,0.07325,TCGA-FD-A3N5,0.20811333333333337
TCGA-FD-A3N6-01,0.07383,0.02135,0.0796,TCGA-FD-A3N6,0.058260000000000006
TCGA-FD-A3NA-01,0.03723,0.4785,0.06886,TCGA-FD-A3NA,0.19486333333333336
TCGA-FD-A3SJ-01,0.02471,0.03308,0.08713,TCGA-FD-A3SJ,0.048306666666666664
TCGA-FD-A3SL-01,0.01911,0.03162,0.08681,TCGA-FD-A3SL,0.04584666666666667
TCGA-FD-A3SM-01,0.05134,0.03236,0.07772,TCGA-FD-A3SM,0.05380666666666667
TCGA-FD-A3SN-01,0.7011,0.6395,0.08065,TCGA-FD-A3SN,0.4737499999999999
TCGA-FD-A3SO-01,0.02017,0.5411,0.09012,TCGA-FD-A3SO,0.21713000000000002
TCGA-FD-A3SP-01,0.03038,0.443,0.0983,TCGA-FD-A3SP,0.19055999999999998
TCGA-FD-A3SQ-01,0.05024,0.5251,0.09118,TCGA-FD-A3SQ,0.22217333333333333
TCGA-FD-A3SR-01,0.03281,0.551,0.08924,TCGA-FD-A3SR,0.22435000000000002
